maven/mavencentral/antlr/antlr/2.7.7, BSD-3-Clause, approved, #148
maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.3, Apache-2.0, approved, CQ23207
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.3, Apache-2.0, approved, CQ23202
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.3, Apache-2.0, approved, CQ23206
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.3, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.3, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.12.3, Apache-2.0, approved, CQ23205
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml/classmate/1.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.sun.istack/istack-commons-runtime/3.0.12, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/com.sun.xml.messaging.saaj/saaj-impl/1.5.3, BSD-3-Clause, approved, #1672
maven/mavencentral/com.vladmihalcea/hibernate-types-52/2.14.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.zaxxer/HikariCP/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.persistence/jakarta.persistence-api/2.2.3, , approved, eclipse
maven/mavencentral/jakarta.transaction/jakarta.transaction-api/1.3.3, , approved, eclipse
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/jakarta.xml.soap/jakarta.xml.soap-api/1.4.2, , approved, eclipse
maven/mavencentral/jakarta.xml.ws/jakarta.xml.ws-api/2.3.3, , approved, eclipse
maven/mavencentral/net.bytebuddy/byte-buddy/1.10.22, , approved, CQ22491
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.46, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-el/9.0.46, Apache-2.0, approved, CQ20193
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.46, Apache-2.0, approved, CQ20194
maven/mavencentral/org.aspectj/aspectjweaver/1.9.6, , approved, eclipse
maven/mavencentral/org.dom4j/dom4j/2.1.3, LicenseRef-Dom4j, approved, CQ21947
maven/mavencentral/org.glassfish.jaxb/jaxb-runtime/2.3.4, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.glassfish.jaxb/txw2/2.3.4, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.hibernate.common/hibernate-commons-annotations/5.1.2.Final, LGPL-2.1-or-later, approved, CQ21943
maven/mavencentral/org.hibernate/hibernate-core/5.4.31.Final, LGPL-2.1-or-later, approved, CQ21941
maven/mavencentral/org.javassist/javassist/3.27.0-GA, MPL-1.1 OR LGPL-2.1-or-later OR Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jboss.logging/jboss-logging/3.4.1.Final, Apache-2.0, approved, CQ21255
maven/mavencentral/org.jboss/jandex/2.2.3.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jvnet.staxex/stax-ex/1.8.3, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.projectlombok/lombok/1.18.20, MIT, approved, clearlydefined
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.30, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.30, MIT, approved, CQ13368
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-aop/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-data-jpa/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-jdbc/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.5.0, Apache-2.0, approved, #1544
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.5.0, Apache-2.0, approved, #1542
maven/mavencentral/org.springframework.boot/spring-boot-starter-web-services/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.data/spring-data-commons/2.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.data/spring-data-jpa/2.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.ws/spring-ws-core/3.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.ws/spring-xml/3.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.7, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-aspects/5.3.7, Apache-2.0, approved, #1546
maven/mavencentral/org.springframework/spring-beans/5.3.7, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.7, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.7, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.7, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.7, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-jdbc/5.3.7, Apache-2.0, approved, #1545
maven/mavencentral/org.springframework/spring-orm/5.3.7, Apache-2.0, approved, CQ23053
maven/mavencentral/org.springframework/spring-oxm/5.3.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-tx/5.3.7, Apache-2.0, approved, CQ23055
maven/mavencentral/org.springframework/spring-web/5.3.7, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.7, Apache-2.0, approved, CQ23158
maven/mavencentral/org.yaml/snakeyaml/1.28, Apache-2.0 AND (EPL-1.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later OR Apache-2.0 OR BSD-2-Clause), approved, CQ23168
