maven/mavencentral/ch.qos.logback/logback-classic/1.2.5, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.5, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.4, Apache-2.0, approved, CQ23207
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.4, Apache-2.0, approved, CQ23202
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.4, Apache-2.0, approved, CQ23725
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.4, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.4, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.netty/netty-buffer/4.1.67.Final, Apache-2.0, approved, CQ21842
maven/mavencentral/io.netty/netty-codec-dns/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-http/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-http2/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-socks/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-common/4.1.67.Final, Apache-2.0 AND MIT AND CC0-1.0, approved, CQ21843
maven/mavencentral/io.netty/netty-handler-proxy/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-handler/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-resolver-dns-native-macos/4.1.67.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.netty/netty-resolver-dns/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-resolver/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-epoll/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-unix-common/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport/4.1.67.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.projectreactor.netty/reactor-netty-core/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.projectreactor.netty/reactor-netty-http/1.0.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.projectreactor/reactor-core/3.4.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.52, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-el/9.0.52, Apache-2.0, approved, CQ20193
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.52, Apache-2.0, approved, CQ20194
maven/mavencentral/org.projectlombok/lombok/1.18.20, MIT, approved, clearlydefined
maven/mavencentral/org.reactivestreams/reactive-streams/1.0.3, CC0-1.0, approved, CQ16332
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.32, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.32, MIT, approved, CQ13368
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.5.4, Apache-2.0, approved, #1544
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-reactor-netty/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.5.4, Apache-2.0, approved, #1542
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-websocket/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.5.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.5.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.9, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.9, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.9, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.9, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.9, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.9, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-messaging/5.3.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-web/5.3.9, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.9, Apache-2.0, approved, CQ23158
maven/mavencentral/org.springframework/spring-websocket/5.3.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.yaml/snakeyaml/1.28, Apache-2.0 AND (EPL-1.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later OR Apache-2.0 OR BSD-2-Clause), approved, CQ23168
