maven/mavencentral/aopalliance/aopalliance/1.0, LicenseRef-Public-Domain, approved, CQ2918
maven/mavencentral/asm/asm/3.3.1, BSD-2-Clause, approved, CQ4720
maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.beust/jcommander/1.48, Apache-2.0, approved, CQ9859
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.11.4, Apache-2.0, approved, CQ23491
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.11.4, Apache-2.0, approved, CQ23492
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23490
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-guava/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.11.4, Apache-2.0, approved, CQ22138
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.11.4, Apache-2.0, approved, CQ22715
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.11.4, Apache-2.0, approved, CQ22716
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.11.4, Apache-2.0, approved, CQ22717
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jffi/1.2.9, Apache-2.0, approved, CQ9095
maven/mavencentral/com.github.jnr/jnr-constants/0.8.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-enxio/0.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-ffi/2.0.3, Apache-2.0, approved, CQ12035
maven/mavencentral/com.github.jnr/jnr-posix/3.0.12, CPL-1.0, approved, CQ12037
maven/mavencentral/com.github.jnr/jnr-unixsocket/0.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.jnr/jnr-x86asm/1.0.2, MIT, approved, CQ9094
maven/mavencentral/com.github.mauricioaniche/ck/0.6.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.code.gson/gson/2.8.6, Apache-2.0, approved, CQ23102
maven/mavencentral/com.google.guava/guava/18.0, Apache-2.0, approved, CQ9085
maven/mavencentral/com.googlecode.javaewah/JavaEWAH/1.1.6, Apache-2.0, approved, CQ11658
maven/mavencentral/com.jcraft/jsch/0.1.54, BSD-2-Clause, approved, CQ12480
maven/mavencentral/com.opencsv/opencsv/5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.spotify/docker-client/3.5.12, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.sun.activation/jakarta.activation/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/commons-beanutils/commons-beanutils/1.9.4, Apache-2.0, approved, CQ12654
maven/mavencentral/commons-chain/commons-chain/1.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/commons-codec/commons-codec/1.15, Apache-2.0 AND BSD-3-Clause AND LicenseRef-Public-Domain, approved, CQ22641
maven/mavencentral/commons-collections/commons-collections/3.2.2, Apache-2.0, approved, CQ10385
maven/mavencentral/commons-digester/commons-digester/1.8, Apache-2.0, approved, CQ1917
maven/mavencentral/commons-io/commons-io/2.8.0, Apache-2.0, approved, CQ23182
maven/mavencentral/commons-lang/commons-lang/2.6, Apache-2.0, approved, CQ6183
maven/mavencentral/commons-logging/commons-logging/1.2, Apache-2.0, approved, CQ10162
maven/mavencentral/dom4j/dom4j/1.1, , restricted, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.ws.rs/jakarta.ws.rs-api/2.1.6, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jaxrs
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/javax.annotation/jsr250-api/1.0, CDDL-1.0, approved, CQ3941
maven/mavencentral/javax.enterprise/cdi-api/1.0, Apache-2.0, approved, CQ6081
maven/mavencentral/javax.inject/javax.inject/1, Apache-2.0, approved, CQ3555
maven/mavencentral/junit/junit/4.13.2, EPL-2.0, approved, CQ23636
maven/mavencentral/log4j/log4j/1.2.17, Apache-2.0, approved, CQ7837
maven/mavencentral/net.lingala.zip4j/zip4j/2.7.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.pmd/pmd-core/6.38.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sourceforge.pmd/pmd-java/6.38.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sourceforge.pmd/pmd-javascript/6.38.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sourceforge.pmd/pmd-jsp/6.38.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sourceforge.saxon/saxon/9.1.0.8, Apache-2.0 AND BSD-3-Clause AND MPL-1.1, approved, #1110
maven/mavencentral/org.antlr/antlr4-runtime/4.7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-collections4/4.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-compress/1.9, Apache-2.0, approved, CQ9403
maven/mavencentral/org.apache.commons/commons-csv/1.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-lang3/3.11, Apache-2.0, approved, CQ22642
maven/mavencentral/org.apache.commons/commons-text/1.9, , approved, CQ22603
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.13, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23527
maven/mavencentral/org.apache.httpcomponents/httpcore/4.4.14, Apache-2.0, approved, CQ23528
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-core/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-decoration-model/1.9.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-logging-api/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-module-xhtml/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-module-xhtml5/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-sink-api/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-site-renderer/1.9.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-skin-model/1.9.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.plugins/maven-pmd-plugin/3.15.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.reporting/maven-reporting-api/3.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.reporting/maven-reporting-impl/3.0.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.shared/maven-artifact-transfer/0.11.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.shared/maven-common-artifact-filters/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.shared/maven-shared-utils/3.3.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven/maven-aether-provider/3.1.0, Apache-2.0, approved, CQ7214
maven/mavencentral/org.apache.maven/maven-artifact/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven/maven-core/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven/maven-model-builder/3.1.0, Apache-2.0, approved, CQ7210
maven/mavencentral/org.apache.maven/maven-model/3.1.0, Apache-2.0, approved, CQ7209
maven/mavencentral/org.apache.maven/maven-plugin-api/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven/maven-repository-metadata/3.1.0, Apache-2.0, approved, CQ7213
maven/mavencentral/org.apache.maven/maven-settings-builder/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven/maven-settings/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.43, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.43, Apache-2.0, approved, CQ20194
maven/mavencentral/org.apache.velocity/velocity-tools/2.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.velocity/velocity/1.7, Apache-2.0, approved, CQ6687
maven/mavencentral/org.bouncycastle/bcpkix-jdk15on/1.52, MIT, approved, CQ9552
maven/mavencentral/org.bouncycastle/bcprov-jdk15on/1.52, MIT, approved, CQ9554
maven/mavencentral/org.codehaus.plexus/plexus-classworlds/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-component-annotations/1.5.5, Apache-2.0, approved, CQ4581
maven/mavencentral/org.codehaus.plexus/plexus-container-default/1.0-alpha-30, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-i18n/1.0-beta-10, , restricted, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-interpolation/1.16, Apache-1.1 OR Apache-2.0 OR MIT, approved, CQ7208
maven/mavencentral/org.codehaus.plexus/plexus-resources/1.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-utils/3.3.0, , approved, CQ21066
maven/mavencentral/org.codehaus.plexus/plexus-velocity/1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.aether/aether-api/0.9.0.M2, EPL-1.0, approved, technology.aether
maven/mavencentral/org.eclipse.aether/aether-impl/0.9.0.M2, EPL-1.0, approved, technology.aether
maven/mavencentral/org.eclipse.aether/aether-spi/0.9.0.M2, EPL-1.0, approved, technology.aether
maven/mavencentral/org.eclipse.aether/aether-util/0.9.0.M2, EPL-1.0, approved, technology.aether
maven/mavencentral/org.eclipse.jdt/org.eclipse.jdt.core/3.23.0, EPL-2.0, approved, eclipse.jdt
maven/mavencentral/org.eclipse.jgit/org.eclipse.jgit/4.8.0.201706111038-r, BSD-3-Clause, approved, technology.jgit
maven/mavencentral/org.eclipse.platform/org.eclipse.core.commands/3.10.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.contenttype/3.8.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.expressions/3.8.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.filesystem/1.9.200, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.jobs/3.12.0, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.resources/3.16.0, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.core.runtime/3.24.0, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.equinox.app/1.6.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.equinox.common/3.15.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.equinox.preferences/3.9.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.equinox.registry/3.11.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.osgi/3.17.100, , approved, eclipse
maven/mavencentral/org.eclipse.platform/org.eclipse.text/3.12.0, , approved, eclipse
maven/mavencentral/org.eclipse.sisu/org.eclipse.sisu.inject/0.0.0.M2a, EPL-1.0, approved, technology.sisu
maven/mavencentral/org.eclipse.sisu/org.eclipse.sisu.plexus/0.0.0.M2a, EPL-1.0, approved, technology.sisu
maven/mavencentral/org.glassfish.hk2.external/jakarta.inject/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2/osgi-resource-locator/1.0.3, CDDL-1.0, approved, CQ10889
maven/mavencentral/org.glassfish.jersey.connectors/jersey-apache-connector/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.core/jersey-client/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.core/jersey-common/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.ext/jersey-entity-filtering/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.media/jersey-media-json-jackson/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish/jakarta.el/3.0.3, , approved, eclipse
maven/mavencentral/org.hamcrest/hamcrest-core/2.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.hamcrest/hamcrest/2.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.javassist/javassist/3.26.0-GA, MPL-1.1 OR LGPL-2.1-or-later OR Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jetbrains/annotations/23.0.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.json/json/20210307, JSON, restricted, clearlydefined
maven/mavencentral/org.mozilla/rhino/1.7.13, MPL-2.0 AND BSD-3-Clause AND ISC, approved, CQ16320
maven/mavencentral/org.ow2.asm/asm-analysis/5.0.3, BSD-2-Clause, approved, CQ9714
maven/mavencentral/org.ow2.asm/asm-commons/5.0.3, BSD-2-Clause, approved, CQ9714
maven/mavencentral/org.ow2.asm/asm-tree/5.0.3, BSD-2-Clause, approved, CQ9714
maven/mavencentral/org.ow2.asm/asm-util/5.0.3, BSD-2-Clause, approved, CQ9714
maven/mavencentral/org.ow2.asm/asm/9.2, BSD-3-Clause, approved, CQ23635
maven/mavencentral/org.reflections/reflections/0.9.12, MIT, approved, CQ16665
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.30, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.30, MIT, approved, CQ13368
maven/mavencentral/org.slf4j/slf4j-log4j12/1.7.30, MIT, approved, CQ7665
maven/mavencentral/org.sonatype.plexus/plexus-cipher/1.4, Apache-2.0, approved, CQ4600
maven/mavencentral/org.sonatype.plexus/plexus-sec-dispatcher/1.3, Apache-2.0, approved, CQ4601
maven/mavencentral/org.sonatype.sisu/sisu-guice/3.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.sonatype.sisu/sisu-inject-bean/1.4.2, Apache-2.0, approved, #1702
maven/mavencentral/org.sonatype.sisu/sisu-inject-plexus/1.4.2, Apache-2.0 AND MIT, approved, #1701
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.4.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.4, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.4, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.4, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.4, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.4, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.4, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-test/5.3.4, Apache-2.0, approved, CQ23054
maven/mavencentral/org.springframework/spring-web/5.3.4, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.4, Apache-2.0, approved, CQ23158
maven/mavencentral/org.yaml/snakeyaml/1.27, Apache-2.0, approved, clearlydefined
maven/mavencentral/oro/oro/2.0.8, Apache-1.1, approved, clearlydefined
