maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.3, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.11.4, Apache-2.0, approved, CQ23491
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.11.4, Apache-2.0, approved, CQ23492
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23490
maven/mavencentral/com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.11.4, Apache-2.0, approved, CQ23094
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.11.4, Apache-2.0, approved, CQ22138
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.11.4, Apache-2.0, approved, CQ22715
maven/mavencentral/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.11.4, Apache-2.0, approved, CQ22716
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.11.4, Apache-2.0, approved, CQ22717
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.guava/guava/17.0, Apache-2.0, approved, CQ9419
maven/mavencentral/com.offbytwo.jenkins/jenkins-client/0.3.8, MIT, approved, clearlydefined
maven/mavencentral/com.sun.activation/jakarta.activation/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/commons-beanutils/commons-beanutils/1.8.0, Apache-2.0, approved, CQ4968
maven/mavencentral/commons-codec/commons-codec/1.15, Apache-2.0 AND BSD-3-Clause AND LicenseRef-Public-Domain, approved, CQ22641
maven/mavencentral/commons-collections/commons-collections/3.2.1, Apache-2.0, approved, CQ1421
maven/mavencentral/commons-io/commons-io/2.4, Apache-1.1, approved, CQ9218
maven/mavencentral/commons-lang/commons-lang/2.6, Apache-2.0, approved, CQ6183
maven/mavencentral/commons-logging/commons-logging/1.1.1, Apache-2.0, approved, CQ1907
maven/mavencentral/io.github.classgraph/classgraph/4.8.69, MIT, approved, CQ22530
maven/mavencentral/io.swagger.core.v3/swagger-annotations/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-core/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-integration/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.swagger.core.v3/swagger-models/2.1.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.servlet/jakarta.servlet-api/4.0.4, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.servlet
maven/mavencentral/jakarta.validation/jakarta.validation-api/2.0.2, EPL-1.0, approved, modeling.emf.validation
maven/mavencentral/jakarta.ws.rs/jakarta.ws.rs-api/2.1.6, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jaxrs
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/jaxen/jaxen/1.2.0, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/net.sf.ezmorph/ezmorph/1.0.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sf.json-lib/json-lib/2.4, , restricted, clearlydefined
maven/mavencentral/org.apache.commons/commons-lang3/3.11, Apache-2.0, approved, CQ22642
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.13, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23527
maven/mavencentral/org.apache.httpcomponents/httpcore/4.4.14, Apache-2.0, approved, CQ23528
maven/mavencentral/org.apache.httpcomponents/httpmime/4.5.13, Apache-2.0, approved, CQ11718
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.45, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.45, Apache-2.0, approved, CQ20194
maven/mavencentral/org.dom4j/dom4j/2.1.3, LicenseRef-Dom4j, approved, CQ21947
maven/mavencentral/org.gitlab4j/gitlab4j-api/4.15.7, MIT, approved, #814
maven/mavencentral/org.glassfish.hk2.external/aopalliance-repackaged/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2.external/jakarta.inject/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2/hk2-api/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2/hk2-locator/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2/hk2-utils/2.6.1, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.glassfish
maven/mavencentral/org.glassfish.hk2/osgi-resource-locator/1.0.3, CDDL-1.0, approved, CQ10889
maven/mavencentral/org.glassfish.jersey.connectors/jersey-apache-connector/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.core/jersey-client/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.core/jersey-common/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.inject/jersey-hk2/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish.jersey.media/jersey-media-multipart/2.32, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.jersey
maven/mavencentral/org.glassfish/jakarta.el/3.0.3, , approved, eclipse
maven/mavencentral/org.javassist/javassist/3.25.0-GA, MPL-1.1 OR LGPL-2.1-or-later OR Apache-2.0, approved, CQ19885
maven/mavencentral/org.jvnet.mimepull/mimepull/1.9.14, , approved, CQ21484
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.30, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.30, MIT, approved, CQ13368
maven/mavencentral/org.springdoc/springdoc-openapi-common/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springdoc/springdoc-openapi-ui/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springdoc/springdoc-openapi-webmvc-core/1.5.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.6, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.6, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.6, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.6, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.6, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.6, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-web/5.3.6, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.6, Apache-2.0, approved, CQ23158
maven/mavencentral/org.webjars/swagger-ui/3.38.0, Apache-2.0, approved, #1306
maven/mavencentral/org.webjars/webjars-locator-core/0.46, MIT, approved, clearlydefined
maven/mavencentral/org.yaml/snakeyaml/1.27, Apache-2.0, approved, clearlydefined
maven/mavencentral/xml-apis/xml-apis/1.4.01, Apache-2.0 OR LicenseRef-Public-Domain OR W3C, approved, CQ9621
