maven/mavencentral/org.apache.httpcomponents/httpasyncclient/4.1.4, Apache-2.0, approved, CQ13506
maven/mavencentral/com.google.guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.11.4, Apache-2.0, approved, CQ23093
maven/mavencentral/javax.servlet/javax.servlet-api/4.0.1, , approved, CQ16125
maven/mavencentral/org.springframework/spring-webmvc/5.3.3, Apache-2.0, approved, CQ23158
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.0.5, Apache-2.0 OR LGPL-2.1, restricted, clearlydefined
maven/mavencentral/org.apache.xbean/xbean-reflect/3.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-io/commons-io/2.8.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.glassfish/jakarta.el/3.0.3, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, emo_ip_team
maven/mavencentral/joda-time/joda-time/2.10.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.simpleframework/simple-xml/2.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/jfact/1.0.0, LGPL-2.1, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/sdb/1.3.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.aterms/aterm-java/1.8.2-p1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.tukaani/xz/1.6, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-bindings-soap/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-c14n/1.2.14, , restricted, clearlydefined
maven/mavencentral/org.apache.james/apache-mime4j-core/0.7.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.guava/failureaccess/1.0.1, Apache-2.0, approved, CQ22654
maven/mavencentral/org.codehaus.woodstox/wstx-asl/3.2.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-logging-api/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/oro/oro/2.0.8, Apache-1.1, approved, emo_ip_team
maven/mavencentral/com.fasterxml.woodstox/woodstox-core/6.2.3, Apache-2.0, approved, CQ23040
maven/mavencentral/wsdl4j/wsdl4j/1.6.3, CPL-1.0, approved, CQ7981
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-rdfxml/3.4.3, , approved, eclipse
maven/mavencentral/com.hp.hpl.jena/iri/0.8, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.projectlombok/lombok/1.18.16, MIT, approved, clearlydefined
maven/mavencentral/org.projectlombok/lombok/1.18.18, MIT, approved, clearlydefined
maven/mavencentral/com.hp.hpl.jena/jena/2.6.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.glassfish.jaxb/jaxb-runtime/2.3.3, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.0.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.jetty/jetty-security/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/com.googlecode.wicked-charts/wicked-charts-highcharts/1.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-component-annotations/1.7.1, Apache-2.0, approved, CQ16465
maven/mavencentral/org.springframework/spring-aop/5.3.3, Apache-2.0, approved, CQ23152
maven/mavencentral/com.googlecode.json-simple/json-simple/1.1.1, Apache-2.0, approved, CQ9858
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http-jetty/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-databinding-jaxb/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.commons/commons-lang3/3.11, Apache-2.0, approved, CQ22642
maven/mavencentral/jakarta.xml.soap/jakarta.xml.soap-api/1.4.2, , approved, eclipse
maven/mavencentral/asm/asm-commons/3.3.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http-hc/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpcore/4.4.14, Apache-2.0, approved, CQ18704
maven/mavencentral/org.apache.httpcomponents/httpcore/4.4.11, Apache-2.0, approved, CQ18704
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.9.10, Apache-2.0, approved, CQ21838
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-languages/3.4.3, , approved, eclipse
maven/mavencentral/org.apache.httpcomponents/httpcore-nio/4.4.14, Apache-2.0, approved, CQ13509
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-common/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/javax.annotation/javax.annotation-api/1.3.2, CDDL-1.1 OR GPL-2.0, approved, CQ16910
maven/mavencentral/net.sourceforge.owlapi/owlapi-tools/5.1.17, , restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-jena/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.google.j2objc/j2objc-annotations/1.3, Apache-2.0, approved, CQ21195
maven/mavencentral/com.hp.hpl.jena/tdb/0.8.9, NOASSERTION, restricted, clearlydefined
maven/mavencentral/jakarta.jws/jakarta.jws-api/2.1.0, , approved, eclipse
maven/mavencentral/javax.el/javax.el-api/3.0.0, , approved, CQ7249
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-trig/3.4.3, , approved, eclipse
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, , approved, eclipse
maven/mavencentral/edu.stanford.protege/protege-owlapi-extensions/3.2.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.google.code.findbugs/jsr305/3.0.2, Apache-2.0, approved, #20
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-api/3.4.3, , approved, eclipse
maven/mavencentral/com.github.ben-manes.caffeine/caffeine/2.8.8, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-distribution/5.1.17, , restricted, clearlydefined
maven/mavencentral/javax/javaee-web-api/8.0.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.h2database/h2/1.4.200, EPL-1.0, approved, CQ14966
maven/mavencentral/com.github.ansell.jjtraveler/jjtraveler/0.6, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-ntriples/3.4.3, , approved, eclipse
maven/mavencentral/commons-logging/commons-logging/1.2, Apache-2.0, approved, CQ10162
maven/mavencentral/com.jgoodies/jgoodies-forms/1.9.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/javax.xml.bind/jaxb-api/2.3.1, CDDL-1.1 OR GPL-2.0, approved, CQ16911
maven/mavencentral/org.codehaus.plexus/plexus-classworlds/2.5.1, , approved, CQ7945
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, , approved, eclipse
maven/mavencentral/com.google.errorprone/error_prone_annotations/2.3.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-expression/5.3.3, Apache-2.0, approved, CQ23155
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-core/2.13.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.checkerframework/checker-qual/3.8.0, MIT, approved, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.common/4.3.0, , restricted, clearlydefined
maven/mavencentral/org.xerial.snappy/snappy-java/1.1.7.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-turtle/3.4.3, , approved, eclipse
maven/mavencentral/javax.xml.soap/javax.xml.soap-api/1.4.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.eclipse.equinox/org.eclipse.equinox.registry/3.5.0.v20100503, , approved, eclipse
maven/mavencentral/org.springframework/spring-beans/5.2.12.RELEASE, Apache-2.0, approved, CQ2326
maven/mavencentral/org.apache.httpcomponents/httpclient-osgi/4.5.10, Apache-2.0, restricted, clearlydefined
maven/mavencentral/xml-resolver/xml-resolver/1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/xerces/xercesImpl/2.7.1, , restricted, clearlydefined
maven/mavencentral/commons-cli/commons-cli/1.2, Apache-2.0, approved, CQ4578
maven/mavencentral/org.eclipse.jetty/jetty-continuation/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/de.atb.context/context-core/2.0.0, , restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-impl/5.1.17, , restricted, clearlydefined
maven/mavencentral/dk.brics.automaton/automaton/1.11-8, BSD-2-Clause, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-model/3.4.3, , approved, eclipse
maven/mavencentral/javax.servlet/javax.servlet-api/3.1.0, Apache-2.0 AND (CDDL-1.1 OR GPL-2.0 WITH Classpath-exception-2.0), approved, emo_ip_team
maven/mavencentral/org.apache.ws.commons.axiom/axiom-impl/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.41, Apache-2.0, approved, CQ20194
maven/mavencentral/org.apache.cxf/cxf-core/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.swinglabs/swing-worker/1.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/jakarta.xml.ws/jakarta.xml.ws-api/2.3.3, , approved, eclipse
maven/mavencentral/org.springframework/spring-web/5.3.3, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.apache.httpcomponents/httpclient-cache/4.5.10, Apache-2.0, approved, CQ11714
maven/mavencentral/org.eclipse.jetty/jetty-io/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/javax.ejb/ejb-api/3.0, , restricted, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpclient-cache/4.5.13, Apache-2.0, approved, CQ11714
maven/mavencentral/org.checkerframework/checker-qual/3.1.0, MIT, approved, clearlydefined
maven/mavencentral/com.github.ansell.aterms/shared-objects/1.4.9-p1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/stax/stax/1.2.0, , restricted, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-core/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.jhlabs/filters/2.0.235, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.hp.hpl.jena/arq/2.8.7, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-container-default/1.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/log4j/log4j/1.2.17, Apache-2.0, approved, CQ7837
maven/mavencentral/net.sf.supercsv/super-csv/2.4.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.2.12.RELEASE, Apache-2.0, approved, CQ2325
maven/mavencentral/org.apache.kafka/kafka-clients/2.6.0, Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND EPL-2.0, approved, clearlydefined
maven/mavencentral/org.apache.kafka/kafka-clients/2.6.1, , restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.core.application/4.3.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.swinglabs/swingx/1.6.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.springframework/spring-tx/5.3.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-messaging/5.3.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.osgi/org.eclipse.osgi/3.6.0.v20100517, , approved, eclipse
maven/mavencentral/org.javatuples/javatuples/1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-sink-api/1.9.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/javax.enterprise/cdi-api/2.0.SP1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.13, Apache-2.0, approved, CQ22761
maven/mavencentral/javax.jws/javax.jws-api/1.1, CDDL-1.1 OR GPL-2.0 WITH Classpath-exception-2.0, approved, CQ18741
maven/mavencentral/com.jgoodies/jgoodies-common/1.8.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.luben/zstd-jni/1.4.4-7, BSD-2-Clause, approved, CQ22420
maven/mavencentral/com.github.ansell.pellet/pellet-datatypes/2.3.6-ansell, , restricted, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-utils/3.1.0, , approved, CQ16492
maven/mavencentral/net.sourceforge.cobertura/cobertura/2.0, GPL-2.0-only, restricted, clearlydefined
maven/mavencentral/de.atb.context/context-monitoring/2.0.0, , restricted, clearlydefined
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.11.4, Apache-2.0, approved, CQ22138
maven/mavencentral/org.codehaus.woodstox/stax2-api/4.2.1, BSD-2-Clause, approved, clearlydefined
maven/mavencentral/com.github.ben-manes.caffeine/caffeine/2.8.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.jetty/jetty-util/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/com.thewebsemantic/jenabean/1.0.6, , restricted, clearlydefined
maven/mavencentral/org.apache.lucene/lucene-analyzers-common/8.8.0, , restricted, clearlydefined
maven/mavencentral/msv/xsdlib/20030225, , restricted, clearlydefined
maven/mavencentral/com.google.collections/google-collections/1.0, Apache-2.0, approved, CQ3285
maven/mavencentral/org.apache.ws.commons.axiom/axiom-dom/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/javax.interceptor/javax.interceptor-api/1.2, CDDL-1.1, approved, CQ12565
maven/mavencentral/org.springframework/spring-jcl/5.2.12.RELEASE, Apache-2.0, approved, CQ21040
maven/mavencentral/org.apache.neethi/neethi/3.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.equinox/common/3.6.200-v20130402-1505, , approved, eclipse
maven/mavencentral/org.apache.felix/org.apache.felix.main/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.owl.codegeneration/1.0.2, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.xmlcatalog/1.0.3, , restricted, clearlydefined
maven/mavencentral/org.slf4j/slf4j-api/1.7.30, MIT, approved, CQ13368
maven/mavencentral/org.yaml/snakeyaml/1.27, Apache-2.0, approved, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.owl/4.3.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-api/5.1.17, , restricted, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-activation_1.1_spec/1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.sun.activation/jakarta.activation/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, emo_ip_team
maven/mavencentral/org.springframework.retry/spring-retry/1.3.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/fluent-hc/4.5.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/jaxen/jaxen/1.1.4, , approved, CQ11159
maven/mavencentral/org.springframework.retry/spring-retry/1.3.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.core/org.eclipse.core.jobs/3.5.0.v20100515, , approved, eclipse
maven/mavencentral/org.apache.httpcomponents/fluent-hc/4.5.13, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpcore-osgi/4.4.12, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jboss.solder/solder-parent/3.2.1.Final, , restricted, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-util/3.4.3, , approved, eclipse
maven/mavencentral/org.apache.commons/commons-collections4/4.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.slf4j/jcl-over-slf4j/1.7.30, Apache-2.0, approved, CQ12843
maven/mavencentral/msv/relaxngDatatype/20030225, , restricted, clearlydefined
maven/mavencentral/org.apache.ws.xmlschema/xmlschema-core/2.2.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-apibinding/5.1.17, , restricted, clearlydefined
maven/mavencentral/asm/asm/3.3.1, BSD-2-Clause, approved, CQ4720
maven/mavencentral/org.eclipse.jetty/jetty-server/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/com.google.code.gson/gson/2.8.6, Apache-2.0, approved, CQ23102
maven/mavencentral/com.sun.istack/istack-commons-runtime/3.0.11, BSD-3-Clause, approved, emo_ip_team
maven/mavencentral/stax/stax-api/1.0.1, CDDL-1.0, approved, CQ4023
maven/mavencentral/javax.inject/javax.inject/1, Apache-2.0, approved, CQ3555
maven/mavencentral/com.hermit-reasoner/org.semanticweb.hermit/1.3.8.3, NOASSERTION OR NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-rdfjson/3.4.3, , approved, eclipse
maven/mavencentral/org.jboss.solder/solder-logging/3.2.1.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-codec/commons-codec/1.15, Apache-2.0 AND BSD-3-Clause AND LicenseRef-Public-Domain, approved, CQ22641
maven/mavencentral/org.jboss.spec.javax.rmi/jboss-rmi-api_1.0_spec/1.0.6.Final, NOASSERTION, restricted, clearlydefined
maven/mavencentral/commons-codec/commons-codec/1.11, Apache-2.0, approved, CQ15971
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-codec/commons-codec/1.10, Apache-2.0, approved, CQ9217
maven/mavencentral/com.github.ansell.pellet/pellet-rules/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.springframework/spring-context/5.3.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.google.errorprone/error_prone_annotations/2.4.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-ws-addr/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-core/2.14.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-jsonld/3.4.3, , approved, eclipse
maven/mavencentral/org.apache.httpcomponents/httpclient-osgi/4.5.13, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.41, , approved, CQ20188
maven/mavencentral/org.apache.ws.commons.axiom/axiom-api/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1, Apache-2.0, approved, CQ2334
maven/mavencentral/org.ow2.asm/asm/9.0, BSD-3-Clause, approved, CQ22703
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-compatibility/5.1.17, , restricted, clearlydefined
maven/mavencentral/jaxen/jaxen/1.2.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.github.ansell.pellet/pellet-el/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.ant/ant-launcher/1.7.0, Apache-2.0, approved, CQ1678
maven/mavencentral/javax.xml.ws/jaxws-api/2.3.1, CDDL-1.1 OR GPL-2.0 WITH Classpath-exception-2.0, approved, CQ18745
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.0.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jboss.solder/solder-api/3.2.1.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-nquads/3.4.3, , approved, eclipse
maven/mavencentral/commons-logging/commons-logging/1.1.3, Apache-2.0, approved, CQ10836
maven/mavencentral/org.apache.cxf/cxf-rt-frontend-jaxws/3.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-rdf-api/0.5.0, , restricted, clearlydefined
maven/mavencentral/com.github.vsonnier/hppcrt/0.7.5, , restricted, clearlydefined
maven/mavencentral/org.springframework/spring-messaging/5.2.12.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-stax-api_1.0_spec/1.0.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http/3.4.2, Apache-2.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-oboformat/5.1.17, , restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-bindings-xml/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.eclipse.equinox/org.eclipse.equinox.common/3.6.0.v20100503, , approved, eclipse
maven/mavencentral/asm/asm-tree/3.3.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpmime/4.5.10, Apache-2.0, approved, CQ11718
maven/mavencentral/org.springframework.boot/spring-boot/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.lucene/lucene-core/8.8.0, , restricted, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpmime/4.5.13, Apache-2.0, approved, CQ11718
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.11.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.6, Apache-2.0, approved, CQ18703
maven/mavencentral/org.springframework/spring-core/5.3.3, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.slf4j/slf4j-log4j12/1.7.30, MIT, approved, CQ7665
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.8, Apache-2.0, approved, CQ18703
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-expression/5.2.12.RELEASE, Apache-2.0, approved, CQ21026
maven/mavencentral/org.eclipse.equinox/registry/3.3.0-v20070522, , approved, eclipse
maven/mavencentral/org.jgrapht/jgrapht-jdk1.5/0.7.3, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-wsdl/3.4.2, , restricted, clearlydefined
maven/mavencentral/org.springframework/spring-core/5.2.12.RELEASE, Apache-2.0, approved, CQ2329
maven/mavencentral/com.github.ansell.pellet/pellet-core/2.3.6-ansell, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.codehaus.woodstox/woodstox-core-asl/4.1.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-ws-policy/3.4.2, , restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-parsers/5.1.17, , restricted, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-datatypes/3.4.3, , approved, eclipse
maven/mavencentral/org.apache.cxf/cxf-rt-frontend-simple/3.4.2, , restricted, clearlydefined
maven/mavencentral/xpp3/xpp3/1.1.3.3, , approved, CQ6229
maven/mavencentral/org.springframework/spring-jcl/5.3.3, Apache-2.0, approved, CQ23156
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, , approved, eclipse
maven/mavencentral/com.ibm.icu/icu4j/3.4.4, ICU, restricted, clearlydefined
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.9.10, Apache-2.0, approved, CQ21839
maven/mavencentral/org.eclipse.jetty/jetty-http/9.4.35.v20201120, , approved, eclipse
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.11.4, Apache-2.0, approved, CQ22713
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.9.10.5, Apache-2.0, approved, CQ21840
maven/mavencentral/org.apache.geronimo.specs/geronimo-javamail_1.4_spec/1.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.jgoodies/looks/2.2.2, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-binary/3.4.3, , approved, eclipse
maven/mavencentral/javax.activation/javax.activation-api/1.2.0, , approved, CQ18740
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-trix/3.4.3, , approved, eclipse
maven/mavencentral/com.github.jsonld-java/jsonld-java/0.13.0, BSD-3-Clause, approved, CQ22136
maven/mavencentral/org.springframework.kafka/spring-kafka/2.6.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-n3/3.4.3, , approved, eclipse
maven/mavencentral/org.apache.felix/org.apache.felix.framework/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.glassfish.jaxb/txw2/2.3.3, BSD-3-Clause, approved, emo_ip_team
maven/mavencentral/org.springframework/spring-tx/5.2.12.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-hdt/3.4.3, , approved, eclipse
maven/mavencentral/net.sourceforge.owlapi/owlapi-rio/5.1.17, , restricted, clearlydefined
maven/mavencentral/com.google.guava/guava/30.0-jre, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ant/ant/1.7.0, Apache-2.0, approved, CQ1678
maven/mavencentral/org.springframework/spring-context/5.2.12.RELEASE, Apache-2.0, approved, CQ2328
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.4.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-beans/5.3.3, Apache-2.0, approved, CQ23153
maven/mavencentral/net.sf.jpathwatch/jpathwatch/0.95, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.googlecode.mdock/mdock/1.1, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/org.lz4/lz4-java/1.7.1, Apache-2.0, approved, clearlydefined
